Municipality,GrossIncome,Year,Population,UnemploymentRate,LogPopulation,income_score,pop_score,employment_score,EconomicResilienceIndex,EconomicResilienceIndex_100
Akaa,44055,1995,15986,22.9,9.679531170964893,0.11146390639635492,0.5802853710937474,0.410493827160494,0.33979166367969604,34.0
Alajärvi,44975,1995,11890,21.8,9.38353709043758,0.12606963120544856,0.54470567092017,0.44444444444444453,0.35306550510594104,35.3
Alavieska,42823,1995,3051,21.2,8.023552392404348,0.0919049357824382,0.38122994292428275,0.46296296296296313,0.3167460494420433,31.7
Alavus,44479,1995,13472,21.4,9.508442961755847,0.11819524043880678,0.5597198679727131,0.45679012345679026,0.35886786330368065,35.9
Asikkala,52820,1995,8782,16.7,9.080573313917117,0.2506151867786439,0.5082881847567663,0.601851851851852,0.460206285657212,46.0
Askola,52236,1995,4269,14.6,8.35936910622267,0.24134372668243662,0.421596486639097,0.6666666666666667,0.4687896016666723,46.9
Aura,49162,1995,3288,15.1,8.098338846189057,0.19254155487466065,0.39021958081827274,0.6512345679012346,0.4384890159253414,43.8
Brändö,52486,1995,548,5.8,6.3080984415095305,0.24531267364142945,0.17502535557009583,0.9382716049382717,0.5430867291107417,54.3
Eckerö,51245,1995,823,9.6,6.714170529909472,0.225610820936989,0.2238368829100664,0.8209876543209877,0.49317560835440394,49.3
Enonkoski,44502,1995,2093,22.8,7.646831391430482,0.11856038355903412,0.33594653644580996,0.4135802469135803,0.2947965526459351,29.5
Enontekiö,42941,1995,2413,35.6,7.789040401657477,0.09377827874708282,0.35304064162806137,0.018518518518518712,0.11176385922042469,11.2
Espoo,66315,1995,191247,13.1,12.161326294117762,0.4648589436250774,0.8786073044807832,0.712962962962963,0.6592554244982671,65.9
Eura,47264,1995,13438,13.6,9.505916206547065,0.16240930956198701,0.5594161416529828,0.6975308641975309,0.4826153755661809,48.3
Eurajoki,50111,1995,9620,19.1,9.171703488361265,0.2076076775309975,0.519242404779384,0.5277777777777779,0.41401116809172595,41.4
Evijärvi,46898,1995,3287,19.1,8.098034756176071,0.1565987712140215,0.3901830279538758,0.5277777777777779,0.3703461755156828,37.0
Finström,59513,1995,2246,6.9,7.717351272185329,0.3568718347648002,0.34442331479578225,0.904320987654321,0.600734249571281,60.1
Forssa,42045,1995,19542,23.3,9.880372445030076,0.07955357284605248,0.6044273144089252,0.39814814814814825,0.32789588004457015,32.8
Föglö,48205,1995,602,6.0,6.401917196727186,0.17734842591563607,0.18630275400777985,0.9320987654320988,0.518776944316473,51.9
Geta,42121,1995,461,4.0,6.135564891081739,0.0807601327215863,0.15428611651785676,0.9938271604938271,0.5063454919783488,50.6
Haapajärvi,45474,1995,8519,21.6,9.050171619823361,0.1339916493355983,0.5046337766730045,0.4506172839506174,0.3506016103798381,35.1
Haapavesi,46167,1995,8349,21.0,9.030016817844901,0.14499357030592644,0.5022110869686228,0.4691358024691359,0.36230107811191,36.2
Hailuoto,46426,1995,955,22.8,6.862757913051401,0.149105399355443,0.24169769462747667,0.4135802469135803,0.28663753981101153,28.7
Halsua,44317,1995,1629,19.8,7.396335293800808,0.11562336280937942,0.305835880069043,0.5061728395061729,0.3294131307748692,32.9
Hamina,49688,1995,22405,18.3,10.017084059118668,0.2008922192763816,0.6208606100709615,0.5524691358024691,0.443095509872037,44.3
Hammarland,49788,1995,1283,6.5,7.157735484249907,0.20247979805997873,0.2771552062185049,0.9166666666666666,0.5387989705646935,53.9
Hankasalmi,41265,1995,5991,25.0,8.698180525197055,0.06717045833399482,0.4623230061729245,0.3456790123456791,0.27152981720703867,27.2
Hanko,49438,1995,10825,17.2,9.289705927356923,0.19692327231738874,0.5334267810065598,0.5864197530864199,0.439497390401287,43.9
Harjavalta,48334,1995,8374,15.4,9.033006356693267,0.17939640254647637,0.5025704417763022,0.6419753086419753,0.45219171813541603,45.2
Hartola,40241,1995,4129,18.6,8.326032685955079,0.050913651589960154,0.4175893124555179,0.54320987654321,0.34578208499203417,34.6
Hattula,51143,1995,9108,18.5,9.11701821474481,0.22399149057771992,0.5126690110286803,0.5462962962962964,0.42676415724127137,42.7
Hausjärvi,50178,1995,8143,19.4,9.005036738790304,0.20867135531600756,0.49920837920672617,0.5185185185185186,0.4062099835352812,40.6
Heinola,46032,1995,22016,22.5,9.999570161213173,0.1428503389480703,0.6187553678470696,0.4228395061728396,0.3640264699790164,36.4
Heinävesi,42434,1995,5065,22.2,8.53030683056162,0.08572925431424534,0.44214390086271443,0.4320987654320989,0.31287846362697325,31.3
Helsinki,50875,1995,525031,17.6,13.171214492097192,0.2197367794376796,1.0,0.5740740740740742,0.5352412061365213,53.5
Hirvensalmi,37034,1995,2757,24.0,7.922261058353247,0.0,0.3690543099207461,0.3765432098765433,0.24325530642859372,24.3
Hollola,50783,1995,22629,19.9,10.027031738627583,0.21827620695677022,0.622056361870185,0.5030864197530867,0.42719683369779554,42.7
Huittinen,44241,1995,11270,17.2,9.329988334242078,0.1144168029338456,0.5382688912159618,0.5864197530864199,0.4115885481589273,41.2
Humppila,43154,1995,2679,21.3,7.893572073504902,0.09715982155614472,0.3656057764995035,0.4598765432098766,0.3140715372889958,31.4
Hyrynsalmi,42792,1995,3906,31.3,8.27052509505507,0.09141278635952309,0.41091707280105744,0.15123456790123468,0.1822334453416002,18.2
Hyvinkää,49899,1995,41203,18.0,10.626290618003583,0.20424201050977156,0.6940897323232968,0.5617283950617284,0.46308042792085724,46.3
Hämeenkyrö,47203,1995,9736,17.0,9.183688340978756,0.16144088650399277,0.5206830331257185,0.5925925925925927,0.42730758356820786,42.7
Hämeenlinna,45604,1995,62080,20.0,11.036195262974786,0.13605550175427455,0.7433619486522526,0.5000000000000001,0.4212918153444467,42.1
Ii,44845,1995,8540,28.8,9.052633375946147,0.1240057787867723,0.5049296898365149,0.2283950617283952,0.24716573832045113,24.7
Iisalmi,44474,1995,24042,23.5,10.08759917287658,0.11811586149962693,0.6293368154083878,0.3919753086419754,0.3435968034954359,34.4
