"118w -- Income and income structure of household-dwelling units by region, 1995-2024"

"Region","6. GROSS INCOME, mean 1995","6. GROSS INCOME, mean 1996","6. GROSS INCOME, mean 1997","6. GROSS INCOME, mean 1998","6. GROSS INCOME, mean 1999","6. GROSS INCOME, mean 2000","6. GROSS INCOME, mean 2001","6. GROSS INCOME, mean 2002","6. GROSS INCOME, mean 2003","6. GROSS INCOME, mean 2004","6. GROSS INCOME, mean 2005","6. GROSS INCOME, mean 2006","6. GROSS INCOME, mean 2007","6. GROSS INCOME, mean 2008","6. GROSS INCOME, mean 2009","6. GROSS INCOME, mean 2010","6. GROSS INCOME, mean 2011","6. GROSS INCOME, mean 2012","6. GROSS INCOME, mean 2013","6. GROSS INCOME, mean 2014","6. GROSS INCOME, mean 2015","6. GROSS INCOME, mean 2016","6. GROSS INCOME, mean 2017","6. GROSS INCOME, mean 2018","6. GROSS INCOME, mean 2019","6. GROSS INCOME, mean 2020","6. GROSS INCOME, mean 2021","6. GROSS INCOME, mean 2022","6. GROSS INCOME, mean 2023","6. GROSS INCOME, mean 2024"
"WHOLE COUNTRY",48458,49132,50505,52003,54052,55312,54390,54936,55866,58038,59025,60362,62340,61567,61114,62629,62809,62159,62708,62790,63622,63824,64387,65261,65624,65560,67502,64550,62454,63605
"Akaa",44055,44209,45057,46595,47377,48237,49089,49677,50584,53097,54885,55805,57872,57546,57932,58312,59471,59309,59801,59835,60204,60369,60358,61442,61592,61728,63043,61492,59744,62434
"Alajärvi",44975,45523,47433,48181,49255,49917,49096,49855,51619,53402,54570,55620,57524,57426,56734,58277,60079,57229,57277,57632,58009,58112,59120,60258,60482,60149,61579,59644,57148,58682
"Alavieska",42823,43377,43710,43458,44841,45997,46567,47401,50006,53189,52969,53580,54535,54006,53636,55569,55485,56122,55642,57568,57258,56968,58495,61910,61462,63889,64428,61989,62762,59608
"Alavus",44479,44103,45742,47396,47240,47847,47528,48701,49281,51590,52338,52533,54387,54074,53909,54767,54653,53782,54462,54860,54927,55263,55841,56596,57071,58318,58474,56606,54630,56689
"Asikkala",52820,47364,52912,49790,51609,51762,51340,52575,53122,54464,56569,57974,59612,58871,57660,59200,59818,58906,58161,59145,58474,58832,59877,60992,61611,62013,64063,61868,59131,59857
"Askola",52236,52943,55289,57897,58841,61320,60651,61350,62869,65761,68512,69094,72166,70891,70221,71461,73320,71871,71928,74382,73488,72883,80410,73813,74874,75391,77044,73960,73436,73853
"Aura",49162,49887,51474,52499,52780,53354,53801,55644,58032,59180,61327,62440,62602,64577,63562,64044,64207,63879,63491,63244,63696,65015,64771,65124,66411,67299,70363,64911,62750,64103
"Brändö",52486,52122,53105,55011,59200,59636,59298,59609,61171,68232,68183,67874,70655,74606,75832,73540,74333,71870,74764,84161,76213,77523,74693,72101,78220,81661,89139,88937,78829,80952
"Eckerö",51245,50645,54016,54379,58478,60432,58884,61357,60727,67971,66159,67461,67434,65232,61708,65396,65649,64126,62631,64158,65638,65970,67917,66669,69352,66658,70324,65938,63129,69563
"Enonkoski",44502,42520,44110,43594,44571,44037,43788,44308,45622,46902,46929,49246,52346,51850,50373,52062,51463,49977,51160,52162,52939,52739,52596,54273,54792,52167,55078,53481,53316,54046
"Enontekiö",42941,43796,43887,43582,43172,42152,42513,42684,44004,45357,46987,47171,47641,47956,48363,49132,50199,51691,52076,52853,54458,54860,57234,57541,57598,57826,57673,55952,56065,58412
"Espoo",66315,67761,71083,75418,85204,91877,83795,82191,81731,84549,86471,89089,94124,90449,89106,91100,91435,89100,92246,89516,92732,91867,93056,93264,93254,92698,96093,90520,85911,86822
"Eura",47264,47756,50147,50676,51169,51288,51525,52415,53557,55705,55805,57018,58415,58927,59145,59841,59564,59466,59923,60559,60599,60821,62136,62464,63817,63822,64046,61882,60730,61592
"Eurajoki",50111,50330,52251,53569,54165,54638,53834,54965,55969,58859,60120,60529,62847,63775,64134,66154,66571,66153,66616,66279,66324,68756,68923,70090,70561,71865,74128,80247,68256,70862
"Evijärvi",46898,47875,48888,49653,48844,50334,51008,52599,54717,55681,56359,57840,60715,58024,57714,58390,59640,59368,61932,62365,62383,62407,62845,62099,62210,61019,62942,61028,58928,59818
"Finström",59513,62466,65105,66236,71947,72248,68246,72238,76297,78855,82690,73897,76782,71991,71036,76431,70876,71304,71880,71808,71946,72139,73712,72682,73945,75604,76048,73105,69762,72400
"Forssa",42045,42771,43352,43869,45464,44905,45526,46875,47227,48780,49069,49892,51028,50269,49839,50704,50180,50640,50364,50441,50991,51289,51278,51520,51759,51541,52788,50071,48741,49290
"Föglö",48205,50389,51625,53677,56929,61738,59177,60516,59713,69901,69744,135576,75904,63976,69252,79877,69663,61518,67945,72533,71064,68059,65150,66197,67586,67699,71458,68080,69928,76279
"Geta",42121,44802,44789,46885,51165,55978,53433,53462,54710,55232,54864,55917,58249,58847,59810,61571,63542,59173,58033,57503,60026,61162,60549,61994,60605,59920,61598,60112,61798,62225
"Haapajärvi",45474,45527,46157,46678,47577,48735,49045,48553,50071,52023,53006,53650,58397,54118,54038,55807,55935,55352,55071,55676,55156,55535,56149,57714,56848,58312,60271,58059,55293,55154
"Haapavesi",46167,46005,47570,48546,48382,48791,49531,50197,51944,53870,55055,54567,56338,55913,54934,56732,56647,55759,56330,56906,56433,56081,56728,57717,58235,58324,59561,57455,56476,57599
"Hailuoto",46426,46750,48299,49192,49978,52831,52766,53853,55553,56098,56901,55806,56030,57997,57504,57754,58131,56833,57365,59240,57470,59624,60407,62201,59334,62510,63689,59598,57036,61516
"Halsua",44317,44959,45604,47428,47428,48884,50034,53566,54487,55035,55520,56614,58348,58177,57696,60172,59381,58383,60593,60269,58729,56976,57271,58741,58456,58231,58333,56065,54904,56523
"Hamina",49688,50616,51232,51878,52429,52075,52320,53257,54838,56697,56870,57691,58733,58893,56357,57447,57572,56880,56929,56583,57297,57568,57418,58172,59147,60245,60350,57570,56208,57561
"Hammarland",49788,52059,54394,56737,62419,62111,61681,64280,65067,66563,68334,66888,70113,67971,69566,69682,70007,70100,68521,68884,69659,68422,68889,68723,73471,70210,74254,70264,67912,71386
"Hankasalmi",41265,41336,43237,43055,44299,44554,44146,45006,45754,47286,48114,48656,50465,50079,49664,51569,51295,50897,51539,52048,51852,52642,53071,53985,53977,54298,55671,54381,52927,53876
"Hanko",49438,50206,51147,52479,53974,54389,54057,54847,56381,57908,59485,61307,62702,61385,59942,60799,60118,59422,58918,59970,59669,59742,60355,62548,62011,62739,68975,61867,61407,61604
"Harjavalta",48334,48935,49965,49860,49916,49957,50350,50047,50988,52365,53712,53851,54646,54136,54335,55344,55684,54512,54858,54662,55194,55790,55825,55881,57679,56476,58109,54884,54399,54037
"Hartola",40241,38949,40180,40747,41821,41221,41308,41723,42985,43198,45396,45185,46759,46354,46234,47981,46790,46630,47444,47929,46556,47089,47844,48687,54682,49660,51676,50252,47613,48632
"Hattula",51143,51906,53527,54584,56652,57179,56244,57323,59392,62145,64593,66349,67805,66228,67182,69537,68438,68363,69361,69420,69832,71265,71355,70341,71535,70971,73336,70260,69197,69917
"Hausjärvi",50178,50089,52336,53566,56039,58215,56833,59181,60500,62541,64617,64273,66883,66419,65443,67879,68082,68028,68222,68558,68947,69120,69533,70162,90649,69921,70158,67949,68409,67177
"Heinola",46032,46380,46894,48138,48170,48933,49644,49127,49961,51443,52148,53215,54844,53752,52620,53671,53428,52436,52738,53186,53067,53073,53029,53634,54390,53850,55206,52520,50649,51683
"Heinävesi",42434,41168,42522,44236,44639,44649,44837,44871,46520,48602,48572,53611,50022,49193,47703,48735,48849,48497,48872,48815,52554,50586,49809,51733,50031,50436,52407,49792,48663,49902
"Helsinki",50875,51919,54126,56952,61659,64670,61770,61663,62414,65226,65897,67448,70193,68380,67824,69990,70337,69156,70676,70450,72687,73056,74586,76427,76836,76755,80436,76900,73207,74342
"Hirvensalmi",37034,37597,39004,40040,39979,41647,40527,41671,43911,46276,48668,49518,51949,48831,48330,49577,48901,50367,51406,51601,52185,55141,54276,56795,56150,57231,59089,55695,54429,57056
"Hollola",50783,51566,53533,54601,55480,57150,56628,57530,59300,61312,62838,64847,66744,65936,64956,67105,71841,66737,67849,66213,66631,67319,68292,68775,70207,69278,71088,68071,66549,67709
"Huittinen",44241,42950,44746,45364,46017,46136,45309,46511,47136,49415,50490,51315,52506,51224,52225,53337,53581,54400,53833,53644,54539,54765,55991,55403,56062,56621,58181,55012,53377,54720
"Humppila",43154,41964,42820,44578,46035,45486,46196,48075,47564,49165,51111,51357,52260,52902,51176,53191,53647,55460,53234,54547,54344,54490,55756,56613,55535,59302,57787,55139,57503,55079
"Hyrynsalmi",42792,41949,42036,41838,41948,41207,40650,40983,42180,43842,44197,43700,45582,45706,46160,46436,47749,47375,47760,48584,47710,49597,48974,52658,50528,49895,50309,49841,48345,49101
"Hyvinkää",49899,50543,51918,53293,54695,55939,56189,57674,58113,60731,62611,62788,64335,64105,64257,65063,65748,65373,65123,65201,66127,65976,66531,66795,67751,67411,68528,65707,64224,65647
"Hämeenkyrö",47203,47129,49058,50861,55254,52540,69919,52233,53708,55266,56839,57288,59705,59928,58050,60256,60791,60971,61003,60651,61403,61811,63136,63601,63868,63699,65741,63514,61347,61776
"Hämeenlinna",45604,46032,46992,48046,49409,49361,49925,50639,52047,53863,55307,57311,58877,58062,58195,59342,59384,59299,59901,60147,59986,60036,60905,60891,61112,61126,61933,59492,58475,59624
"Ii",44845,45077,45456,46291,47253,48237,48855,49813,51808,52759,54508,55837,57718,57562,57230,59267,59258,59276,59332,59858,60196,61120,61791,63418,64809,65523,65954,64056,62663,63264
"Iisalmi",44474,45436,46177,46594,47391,47391,46805,47490,49095,50582,50701,51570,54020,53005,52191,53890,54817,53928,54812,54597,54682,55103,55693,56522,56740,56422,57511,55736,53768,54667
"Iitti",44633,43950,45282,46097,46111,48070,46124,46918,47712,50666,51657,51995,54899,53775,53743,55204,54821,54858,55210,55459,55797,55449,57581,56594,57085,56666,58490,55626,54254,55653
"Ikaalinen",44096,44154,45984,46372,47906,47787,46900,47818,48935,50606,51754,51840,53750,53279,52571,54081,54263,54285,54066,54101,53627,54673,54881,55638,55145,55047,56183,54050,53125,53353
"Ilmajoki",48221,47871,48770,50864,50865,51820,52071,53332,54799,56692,59164,59369,61035,62526,62201,63413,64230,63940,63962,64552,64292,65246,65106,65718,66235,66853,71257,65332,63731,66475
"Ilomantsi",40074,40214,41189,41070,41750,41262,40894,41399,41848,42423,43426,43049,44801,44912,44749,46324,45703,45935,47201,46853,47331,47871,47381,48058,47621,48062,48732,46936,45498,46269
"Imatra",46331,47603,47852,49067,49148,50028,49936,49808,50874,51510,51343,52332,53506,53143,53187,53868,54147,53907,53868,54390,54729,54162,54239,54426,54738,54462,55077,52882,51640,52072
"Inari",48365,47984,47716,48033,49202,49008,48944,48793,50167,51978,52277,53264,53834,53589,54391,54427,55304,54832,55932,55097,58948,58946,60234,60997,61917,61315,62158,60488,60336,63186
