"115b -- Population by area, main type of activity, sex, age and year, 1987-2024"

"Area","Main type of activity","1987 Population 31 Dec","1988 Population 31 Dec","1989 Population 31 Dec","1990 Population 31 Dec","1991 Population 31 Dec","1992 Population 31 Dec","1993 Population 31 Dec","1994 Population 31 Dec","1995 Population 31 Dec","1996 Population 31 Dec","1997 Population 31 Dec","1998 Population 31 Dec","1999 Population 31 Dec","2000 Population 31 Dec","2001 Population 31 Dec","2002 Population 31 Dec","2003 Population 31 Dec","2004 Population 31 Dec","2005 Population 31 Dec","2006 Population 31 Dec","2007 Population 31 Dec","2008 Population 31 Dec","2009 Population 31 Dec","2010 Population 31 Dec","2011 Population 31 Dec","2012 Population 31 Dec","2013 Population 31 Dec","2014 Population 31 Dec","2015 Population 31 Dec","2016 Population 31 Dec","2017 Population 31 Dec","2018 Population 31 Dec","2019 Population 31 Dec","2020 Population 31 Dec","2021 Population 31 Dec","2022 Population 31 Dec","2023 Population 31 Dec","2024 Population 31 Dec"
"WHOLE COUNTRY","Total",4938602,4954359,4974383,4998478,5029002,5054982,5077912,5098754,5116826,5132320,5147349,5159646,5171302,5181115,5194901,5206295,5219732,5236611,5255580,5276955,5300484,5326314,5351427,5375276,5401267,5426674,5451270,5471753,5487308,5503297,5513130,5517919,5525292,5533793,5548241,5563970,5603851,5635971
"Akaa","Total",15733,15820,15937,16048,16096,16201,16142,16038,15986,15924,15840,15857,15954,15945,16022,16117,16269,16324,16422,16586,16738,16837,16858,17012,17091,17134,17108,17052,17043,16923,16769,16611,16475,16391,16467,16473,16405,16387
"Alajärvi","Total",11760,11832,11860,11963,11982,12023,11992,11985,11890,11874,11803,11720,11624,11503,11341,11185,11075,11027,10910,10768,10698,10634,10573,10487,10327,10268,10227,10171,10006,9899,9831,9700,9562,9419,9311,9183,9113,9078
"Alavieska","Total",3036,3023,3050,3072,3060,3053,3097,3084,3051,3054,3064,3029,2990,2940,2902,2898,2891,2894,2854,2827,2817,2759,2776,2770,2750,2761,2740,2687,2687,2639,2610,2573,2519,2517,2491,2447,2437,2410
"Alavus","Total",13725,13720,13758,13785,13781,13744,13690,13623,13472,13341,13330,13299,13174,13135,13040,12925,12897,12880,12868,12791,12788,12706,12586,12439,12385,12341,12228,12103,12044,11907,11713,11544,11468,11332,11197,11102,10933,10780
"Asikkala","Total",8653,8727,8787,8822,8790,8828,8842,8761,8782,8728,8694,8609,8636,8644,8680,8648,8554,8547,8560,8597,8663,8604,8551,8552,8498,8461,8405,8374,8287,8323,8248,8149,8083,8059,8033,8014,7968,7889
"Askola","Total",4115,4167,4178,4248,4311,4334,4348,4319,4269,4301,4298,4314,4360,4389,4421,4446,4474,4530,4555,4627,4711,4761,4831,4864,4911,4988,4991,5064,5104,5046,4990,4958,4943,4878,4847,4763,4700,4651
"Aura","Total",2773,2880,2901,2960,3134,3195,3232,3280,3288,3281,3293,3291,3316,3338,3378,3457,3514,3620,3699,3750,3823,3852,3840,3911,3975,3971,3962,3982,3986,3984,3991,3984,3941,3959,3955,3965,3961,3966
"Brändö","Total",529,532,524,529,532,536,538,546,548,534,538,525,517,514,501,502,515,516,519,520,510,518,498,488,480,476,475,474,470,471,452,449,445,449,449,450,436,430
"Eckerö","Total",768,782,786,811,822,843,829,820,823,816,810,835,846,830,839,884,895,897,925,929,923,921,924,943,978,960,947,932,935,928,948,961,952,958,933,939,942,956
"Enonkoski","Total",2208,2231,2255,2217,2185,2222,2186,2142,2093,2035,1976,1938,1909,1871,1819,1793,1747,1738,1713,1696,1677,1651,1617,1615,1566,1532,1522,1503,1473,1453,1416,1405,1361,1369,1362,1341,1320,1288
